,count,mean,std,min,25%,50%,75%,max,skew,kurt
Unnamed: 0,29495.0,14747.0,8514.617431217917,0.0,7373.5,14747.0,22120.5,29494.0,0.0,-1.1999999999999995
E_MAGIC,29495.0,23117.0,0.0,23117.0,23117.0,23117.0,23117.0,23117.0,0.0,0.0
E_CBLP,29495.0,250.45173758264113,1512.0897017002483,0.0,144.0,144.0,144.0,64110.0,30.086140270100717,1114.138082220871
E_CP,29495.0,758.0724529581285,6605.353116751698,0.0,3.0,3.0,3.0,62388.0,8.680466933433813,73.59248769061402
E_CRLC,29495.0,405.9818274283777,3652.3215400528384,0.0,0.0,0.0,0.0,63030.0,9.830026584189902,107.72448610793926
E_CPARHDR,29495.0,43.34524495677233,1292.256557533864,0.0,4.0,4.0,4.0,64913.0,42.47591078404118,1862.1719904196761
E_MINALLOC,29495.0,355.7372775046618,3121.57382163694,0.0,0.0,0.0,0.0,57879.0,8.965019067789617,82.64627120289666
E_MAXALLOC,29495.0,64786.21708764198,6433.890856864552,0.0,65535.0,65535.0,65535.0,65535.0,-8.523831602725993,71.01010395769062
E_SS,29495.0,198.69977962366502,1789.3614003929256,0.0,0.0,0.0,0.0,59756.0,10.492232699874947,148.3981777854792
E_SP,29495.0,377.97494490591623,2315.756181515015,0.0,184.0,184.0,184.0,64539.0,19.56420956265475,450.1612444506968
E_CSUM,29495.0,502.5471774877098,4646.662892501809,0.0,0.0,0.0,0.0,58863.0,9.907184997163796,101.90881277138129
E_IP,29495.0,387.605458552297,3834.8371385258056,0.0,0.0,0.0,0.0,64830.0,11.40378541210441,138.81589689260394
E_CS,29495.0,284.6106119681302,3076.798530269122,0.0,0.0,0.0,0.0,64421.0,12.468041881606014,171.57081038654837
E_LFARLC,29495.0,439.94812680115274,3713.466172257209,0.0,64.0,64.0,64.0,65339.0,11.883953055685485,156.85718773278538
E_OVNO,29495.0,504.226275639939,4693.015659841391,0.0,0.0,0.0,0.0,64381.0,9.67292699686868,94.82391312644349
E_OEMID,29495.0,396.52693676894387,4056.8173819937433,0.0,0.0,0.0,0.0,64421.0,11.053676204274971,124.77483277811226
E_OEMINFO,29495.0,483.28062383454824,4725.603006468405,0.0,0.0,0.0,0.0,64963.0,10.785596366400226,122.07712131533111
E_LFANEW,29495.0,174.32839464315987,53.047494993441624,64.0,128.0,128.0,224.0,512.0,0.28909039885489823,-0.8126898371902631
MACHINE,29495.0,1043.590167825055,4872.344867177517,332.0,332.0,332.0,332.0,34404.0,6.701297744533525,42.91030112241995
NUMBEROFSECTIONS,29495.0,4.131073063231056,2.091788019530876,2.0,3.0,3.0,5.0,49.0,3.215000920408027,20.21162217939257
TIMEDATESTAMP,29495.0,1662601891.979183,644297432.5616974,0.0,1509546777.0,1609348766.0,1645113404.0,4294967295.0,1.9119376988229768,5.956422225833611
POINTERTOSYMBOLTABLE,29495.0,1185683.3735548398,47462578.608058624,0.0,0.0,0.0,0.0,3501856883.0,46.48918244876473,2499.405934543836
NUMBEROFSYMBOLS,29495.0,778480.275029666,44461611.04532263,0.0,0.0,0.0,0.0,3476264331.0,70.26785140349098,5197.415702082119
SIZEOFOPTIONALHEADER,29495.0,224.33415833192066,2.2880229477236513,224.0,224.0,224.0,224.0,240.0,6.701297744533532,42.91030112242001
CHARACTERISTICS,29495.0,1172.4145787421596,5380.638887834219,2.0,258.0,259.0,271.0,49583.0,5.85099618476474,32.47820274355564
MAGIC,29495.0,272.34653331073065,36.60836716357842,267.0,267.0,267.0,267.0,523.0,6.7012977445335284,42.91030112241998
MAJORLINKERVERSION,29495.0,20.195490761145958,23.08123550791316,0.0,6.0,9.0,48.0,252.0,1.9558340629694728,6.090823010963447
MINORLINKERVERSION,29495.0,3.4482793693846414,10.023196210268768,0.0,0.0,0.0,0.0,255.0,5.148415171141302,73.54472260641583
SIZEOFCODE,29495.0,1394011.8144431259,66157127.03564998,0.0,64512.0,204800.0,559104.0,4294967295.0,64.88146052809266,4208.353071769775
SIZEOFINITIALIZEDDATA,29495.0,1967157.8558060688,56230815.45287315,0.0,7168.0,56320.0,278528.0,4294967295.0,75.45207140538278,5757.646450854792
SIZEOFUNINITIALIZEDDATA,29495.0,237823.73768435328,25138409.281161163,0.0,0.0,0.0,0.0,4294967295.0,169.11037590606455,28887.042427941647
ADDRESSOFENTRYPOINT,29495.0,491544.7470757756,12093389.635325149,4096.0,13613.0,54882.0,504250.5,2025880815.0,159.570000303198,26679.433389073514
BASEOFCODE,29495.0,99597.02783522631,2558822.168146927,0.0,4096.0,4096.0,8192.0,80965632.0,29.857479638599287,891.1852321336646
IMAGEBASE,29495.0,60921674.565044925,545063478.4161565,0.0,4194304.0,4194304.0,4194304.0,6442450944.0,9.87559369063074,96.30683557171652
SECTIONALIGNMENT,29495.0,5766.756941854552,2012.9900791294274,4096.0,4096.0,4096.0,8192.0,8192.0,0.3748340778504331,-1.8596255163590818
FILEALIGNMENT,29495.0,1195.9222919138838,1412.0342509199654,512.0,512.0,512.0,512.0,8192.0,1.6403354143442512,0.9230448452714479
MAJOROPERATINGSYSTEMVERSION,29495.0,4.3285641634175285,0.764651085602081,1.0,4.0,4.0,5.0,10.0,2.8589642419066816,19.68979160626729
MINOROPERATINGSYSTEMVERSION,29495.0,0.08821834209187998,0.33279099018808656,0.0,0.0,0.0,0.0,3.0,4.720691559722992,28.2063304123927
MAJORIMAGEVERSION,29495.0,15.186404475334802,634.0720460402601,0.0,0.0,0.0,0.0,37155.0,54.54569514312534,3026.739359364024
MINORIMAGEVERSION,29495.0,0.42671639260891675,26.34007975631855,0.0,0.0,0.0,0.0,4518.0,171.06643146876516,29340.182902037486
MAJORSUBSYSTEMVERSION,29495.0,4.4044075266994405,0.7382410846155505,3.0,4.0,4.0,5.0,10.0,2.8092057745516423,13.882901176578452
MINORSUBSYSTEMVERSION,29495.0,0.09883031022207153,0.3536569287060024,0.0,0.0,0.0,0.0,10.0,5.472357440048406,73.71473808008012
RESERVED1,29495.0,0.6954399050686557,21.46848420245079,0.0,0.0,0.0,0.0,960.0,31.583607562447888,1015.8575961701861
SIZEOFIMAGE,29495.0,1879651.417799627,6630044.162832644,24576.0,245760.0,499712.0,950272.0,122593280.0,6.673937520750464,50.47917911268383
SIZEOFHEADERS,29495.0,1461.3741990167825,1369.9322291642993,512.0,512.0,1024.0,1024.0,8192.0,1.5178448386871115,1.0125997138056673
CHECKSUM,29495.0,1114679.311137481,42240464.84676077,0.0,0.0,0.0,337888.5,3885444380.0,65.5669197694496,4783.671954219739
SUBSYSTEM,29495.0,2.078555687404645,0.26904859337774534,2.0,2.0,2.0,2.0,3.0,3.133061478458636,7.816604252311322
DLLCHARACTERISTICS,29495.0,23593.808713341245,15650.378452450117,0.0,0.0,33024.0,34112.0,50496.0,-0.8082851553596111,-1.2483562613433274
SIZEOFSTACKRESERVE,29495.0,1088210.6027462282,535745.9986844187,0.0,1048576.0,1048576.0,1048576.0,67108864.0,69.15587015701242,7925.432552189177
SIZEOFHEAPRESERVE,29495.0,1064800.9483980336,229531.91018915456,885.0,1048576.0,1048576.0,1048576.0,4194304.0,13.14157144888367,176.9035589853947
SIZEOFHEAPCOMMIT,29495.0,4095.591354466859,166.7613355640506,0.0,4096.0,4096.0,4096.0,16384.0,10.640334961722589,1487.982419514818
LOADERFLAGS,29495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUMBEROFRVAANDSIZES,29495.0,15.991388370910324,0.10149299903789716,14.0,16.0,16.0,16.0,16.0,-13.04236541835942,190.0437038712575
TYPE_y,29495.0,3.145821325648415,1.8065361923077148,0.0,2.0,3.0,5.0,6.0,0.005952968252006775,-1.1013982919409528
TEXT_MISC_VIRTUALSIZE,29495.0,333743.96772334294,676466.073623291,0.0,30708.0,149858.0,489992.0,33798180.0,17.13251854401374,577.8550988870402
TEXT_VIRTUALADDRESS,29495.0,9869.006136633328,87717.23995063067,0.0,4096.0,4096.0,8192.0,8036352.0,49.77955388851087,3413.345188945081
TEXT_SIZEOFRAWDATA,29495.0,332805.60037294455,675220.9748477269,0.0,30208.0,149504.0,487424.0,33798656.0,17.21571437866778,582.1961625988378
TEXT_POINTERTORAWDATA,29495.0,4490.029089676216,60145.60902882488,0.0,512.0,1024.0,1024.0,8022528.0,85.62789703347984,10799.887918217322
TEXT_POINTERTORELOCATIONS,29495.0,207310.307882692,26871003.66111078,0.0,0.0,0.0,0.0,4261479159.0,144.90246221686056,22081.500087899636
TEXT_POINTERTOLINENUMBERS,29495.0,50628.68916765553,8623234.925248878,0.0,0.0,0.0,0.0,1480938591.0,171.73222209379222,29492.964980431218
TEXT_NUMBEROFRELOCATIONS,29495.0,1.8539074419393118,228.5428994798654,0.0,0.0,0.0,0.0,34048.0,133.14759969272484,18494.039854588988
TEXT_NUMBEROFLINENUMBERS,29495.0,1.9500593320901847,214.8689305948231,0.0,0.0,0.0,0.0,30144.0,123.0469939164614,15852.201059445364
TEXT_CHARACTERISTICS,29495.0,1463035692.7490084,493525230.3905282,0.0,1610612768.0,1610612768.0,1610612768.0,3763339296.0,-2.145602481753758,6.003230525604502
